index,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap
72,160.3852,160.3937,157.9336,158.1712,4202556,4202556,-1.9171,-1.198,158.7935
73,158.01,158.977,157.7216,158.6801,3949644,3949644,0.50897,0.322,158.3117
74,158.2984,158.7395,157.8149,158.6292,3270670,3270670,-0.050897,-0.032,158.3941
75,157.993,158.3748,156.6782,156.8394,3032896,3032896,-1.7899,-1.128,157.3067
76,157.6537,158.765,156.8903,158.1118,2988348,2988348,1.2724,0.811,158.0956
77,158.1627,158.1627,156.9581,157.5095,2218149,2218149,-0.602283,-0.381,157.6393
78,157.6452,157.8997,157.1957,157.7301,2563424,2563424,0.220555,0.14,157.6105
79,156.763,157.4841,156.025,156.746,4794501,4794501,-0.984009,-0.624,156.6432
80,156.4916,156.8309,155.1852,155.304,3724124,3724124,-1.4421,-0.92,155.699
81,155.779,155.8978,154.6678,155.8808,2759978,2759978,0.576833,0.371,155.2913
82,155.5584,156.5679,154.8035,156.3898,4620207,4620207,0.508971,0.327,159.0875
83,156.7291,158.0186,156.6527,157.518,3204034,3204034,1.1282,0.721,157.4174
84,157.3992,157.5774,156.1862,156.3983,2517123,2517123,-1.1197,-0.711,156.618
85,156.6867,157.3144,156.254,156.517,2376981,2376981,0.118762,0.076,156.6473
86,156.6443,157.8573,156.0165,157.764,2861974,2861974,1.247,0.797,157.2714
87,158.1797,159.1806,157.6961,158.0948,3296900,3296900,0.330832,0.21,158.4217
88,157.9676,159.1721,157.747,157.9676,2728403,2728403,-0.127243,-0.08,158.2575
89,157.9506,157.9675,155.9317,156.3304,4157062,4157062,-1.6372,-1.036,156.4874
90,155.7536,156.254,154.3963,154.5999,4065310,4065310,-1.7305,-1.107,155.0372
91,154.795,154.8544,153.4632,153.7262,4425491,4425491,-0.873733,-0.565,153.9714
92,154.3878,155.2361,153.9806,154.8629,2778984,2778984,1.1367,0.739,154.7038
93,154.7271,154.9901,153.7389,154.6847,3556218,3556218,-0.178141,-0.115,154.462
94,154.303,155.0749,154.0146,154.6084,2460857,2460857,-0.076346,-0.049,156.4018
95,154.4217,155.7536,154.2097,155.7451,3935653,3935653,1.1367,0.735,155.0079
96,156.1862,156.4831,154.6898,155.0834,3551276,3551276,-0.661661,-0.425,155.3889
97,154.8883,154.9562,153.8788,154.0061,10686834,10686834,-1.0773,-0.695,154.7853
98,154.32,154.5999,153.5395,154.5066,3231699,3231699,0.500486,0.325,154.1428
99,153.9637,155.2361,153.2426,153.4377,3875453,3875453,-1.0688,-0.692,154.1098
100,152.9033,153.5141,152.7421,153.302,2763020,2763020,-0.135726,-0.088,153.1888
101,153.4293,153.8534,152.072,153.0051,3258470,3258470,-0.2969,-0.194,152.9475
102,152.4961,154.778,152.4028,154.1418,4575680,4575680,1.1367,0.743,157.8639
103,153.8195,154.3284,152.9118,153.7686,4228836,4228836,-0.373246,-0.242,154.0744
104,154.1333,158.8583,154.1333,158.0779,6644363,6644363,4.3093,2.802,157.6509
105,158.0694,160.3173,157.9252,159.8084,5097199,5097199,1.7305,1.095,159.6701
106,159.8084,160.1612,158.9261,159.9271,2422363,2422363,0.11876,0.074,159.729
107,159.1467,159.7066,159.0025,159.5115,2958947,2958947,-0.415661,-0.26,161.2815
108,159.1806,159.5454,158.0948,158.8159,3135115,3135115,-0.695592,-0.436,158.8538
109,159.2061,160.241,158.5359,159.8338,3309559,3309559,1.0179,0.641,159.7213
110,158.1542,159.5199,157.9591,159.223,3177816,3177816,-0.610764,-0.382,158.7859
111,159.2485,159.7744,158.379,159.4775,2403840,2403840,0.254486,0.16,159.2682
112,159.9441,161.5473,159.9271,161.0553,4502202,4502202,1.5778,0.989,161.1302
113,160.7839,161.242,159.6557,159.8932,4873452,4873452,-1.1621,-0.722,160.1599
114,163.0743,164.0243,161.8188,163.176,7815648,7815648,3.2829,2.053,163.1112
115,163.176,166.2214,162.8707,163.2863,8872269,8872269,0.110277,0.068,164.4242
116,162.8367,164.0922,161.1741,163.2948,8169325,8169325,0.008483,0.005,162.716
117,162.2769,162.6162,160.5379,161.8951,4154740,4154740,-1.3997,-0.857,161.654
118,162.5229,165.178,162.4974,164.6436,4853041,4853041,2.7484,1.698,164.3413
119,164.6605,165.3307,164.2025,164.2534,3584465,3584465,-0.390211,-0.237,164.6963
120,164.5248,165.9415,164.3552,165.6191,3612656,3612656,1.3657,0.831,165.4867
121,165.67,166.179,164.3892,164.9065,3376455,3376455,-0.712559,-0.43,165.1914
122,164.8217,166.6031,164.2703,166.0772,3242443,3242443,1.1706,0.71,165.7221
123,165.67,166.1705,165.0253,165.0508,3264409,3264409,-1.0264,-0.618,165.5913
124,165.5852,166.2553,163.6341,164.5672,3945601,3945601,-0.483521,-0.293,164.6947
125,163.5832,164.8132,162.4805,162.5907,4208005,4208005,-1.9765,-1.201,163.3584
126,161.5982,162.4465,160.2071,160.4531,5181080,5181080,-2.1377,-1.315,160.7765
127,160.6227,161.1317,159.9865,160.8687,2125935,2125935,0.415659,0.259,160.6389
128,160.1137,160.4921,158.1542,158.7141,3307945,3307945,-2.1546,-1.339,159.0737
129,158.1679,159.4649,157.3829,158.6884,3847046,3847046,-0.025632,-0.016,158.6122
130,159.2601,159.2943,156.649,157.2634,2708935,2708935,-1.425,-0.898,157.4931
131,157.3488,159.2857,156.649,159.2516,2781936,2781936,1.9882,1.264,158.5116
132,160.2585,160.7278,158.953,159.9684,2527208,2527208,0.716773,0.45,159.9665
133,159.9513,161.0094,159.4052,159.8575,1858635,1858635,-0.110928,-0.069,159.8964
134,160.4206,160.8302,159.8831,160.378,1795041,1795041,0.520513,0.326,160.3418
135,160.0537,160.5657,159.5076,160.3182,1929581,1929581,-0.059731,-0.037,160.1458
136,160.2926,161.1715,159.3881,159.8916,2815822,2815822,-0.42665,-0.266,160.2055
137,160.506,161.9651,160.2158,161.5811,2420398,2420398,1.6895,1.057,161.4535
138,162.1614,162.3406,161.5811,162.187,2040117,2040117,0.605843,0.375,162.0367
139,162.0078,162.46,161.4873,162.2126,2177702,2177702,0.025602,0.016,162.0482
140,162.8952,163.8936,162.5539,163.1768,2497985,2497985,0.964227,0.594,163.4606
141,162.7843,163.7314,162.3747,162.4771,1940434,1940434,-0.699706,-0.429,162.752
142,163.3133,163.6717,162.7331,163.1171,1726100,1726100,0.639976,0.394,163.2085
143,162.9976,165.1394,162.9976,164.6786,3175399,3175399,1.5615,0.957,164.5127
144,164.7127,165.6539,163.4584,164.0472,2190285,2190285,-0.631443,-0.383,164.0922
145,163.3816,164.0886,162.6904,163.8338,1503582,1503582,-0.213326,-0.13,163.6523
146,164.0728,164.4738,163.1,164.0898,2911097,2911097,0.255993,0.156,163.9639
147,164.4141,164.6615,162.9208,163.4584,2679659,2679659,-0.631445,-0.385,163.4512
148,164.1666,164.6445,163.7144,163.7912,1824378,1824378,0.332787,0.204,163.984
149,163.5693,164.4226,162.1784,162.7075,2868754,2868754,-1.0837,-0.662,163.1639
150,162.5795,163.6205,162.204,163.1512,2261215,2261215,0.443721,0.273,163.0229
151,162.7672,163.1512,161.7091,162.2467,2525626,2525626,-0.904501,-0.554,162.1962
152,162.4174,162.7587,161.9395,162.1187,2403631,2403631,-0.127997,-0.079,162.2056
153,162.2296,163.9618,162.2126,163.4413,2765324,2765324,1.3226,0.816,163.2696
154,163.0488,164.4994,162.2296,163.5949,2299390,2299390,0.153592,0.094,163.5637
155,163.3816,163.4925,162.6136,163.2195,2900967,2900967,-0.375449,-0.229,163.0506
156,163.3389,164.252,162.6222,163.6717,2457803,2457803,0.452248,0.277,163.3857
157,163.1939,165.1735,162.8269,164.653,2561528,2561528,0.981294,0.6,164.4379
158,164.8749,165.2333,164.0898,164.5165,3214117,3214117,-0.136525,-0.083,164.6248
159,164.508,165.6514,164.4397,165.3271,2963446,2963446,0.810637,0.493,165.3074
160,166.0012,166.3937,164.8493,165.5404,8854514,8854514,0.213325,0.129,165.7681
161,165.3015,165.6599,164.3714,164.781,3317962,3317962,-0.759439,-0.459,165.0266
162,164.4738,164.7469,163.4243,163.5096,3301797,3301797,-1.2714,-0.772,163.9606
163,162.9805,164.2178,162.0248,164.0984,3082594,3082594,0.58878,0.36,163.2793
164,163.8765,164.2605,161.2483,161.2825,4158816,4158816,-2.8159,-1.716,161.9829
165,161.2142,162.4088,160.9412,162.1784,2494024,2494024,0.895968,0.556,161.8177
166,160.8558,162.0931,160.523,161.8201,2344723,2344723,-0.358387,-0.221,161.4673
